H index values,Impact Factor Predicted,Impact factor observed
66,2.400742058294663,4.535
15,1.3447132280926,1.514
45,1.9659066576232254,0.5
48,2.028026000576288,0.8
76,2.6078065348048716,0.426
32,1.6967228381599546,0.48700000000000004
40,1.862374419368121,0.7390000000000001
45,1.9659066576232254,2.0909999999999997
100,3.104761278429372,0.772
26,1.5724841522538293,1.952
24,1.5310712569517877,1.725
70,2.4835678488987467,0.809
57,2.2143840294354757,2.0869999999999997
17,1.3861261233946418,0.652
13,1.3033003327905583,0.267
19,1.4275390186966836,0.466
56,2.193677581784455,2.082
38,1.8209615240660795,1.82
115,3.4153579931946845,2.263
121,3.5395966791008098,4.37
39,1.8416679717171003,0.7170000000000001
50,2.0694388958783296,1.255
96,3.0219354878252886,4.0
48,2.028026000576288,1.114
47,2.007319552925267,0.568
87,2.835577458966101,2.356
22,1.489658361649746,0.51
50,2.0694388958783296,2.229
82,2.7320452207109964,1.319
43,1.9244937623211837,1.588
51,2.0901453435293504,1.443
105,3.208293516684476,2.596
38,1.8209615240660795,0.991
57,2.2143840294354757,1.507
8,1.1997680945354543,2.667
66,2.400742058294663,1.078
91,2.918403249570184,2.53
38,1.8209615240660795,1.163
101,3.1254677260803927,3.977
66,2.400742058294663,5.847
115,3.4153579931946845,3.565
14,1.3240067804415792,0.8
24,1.5310712569517877,3.6260000000000003
47,2.007319552925267,1.0659999999999998
64,2.3593291629926214,1.7930000000000001
30,1.6553099428579128,1.672
27,1.5931905999048501,0.9259999999999999
25,1.5517777046028085,0.35
18,1.4068325710456626,0.569
48,2.028026000576288,1.974
105,3.208293516684476,5.131
33,1.7174292858109754,0.86
34,1.7381357334619962,1.455
44,1.9452002099722046,2.022
60,2.276503372388538,8.802999999999999
20,1.4482454663477045,0.619
19,1.4275390186966836,0.648
24,1.5310712569517877,1.643
50,2.0694388958783296,0.5870000000000001
199,5.154699595880436,9.27
33,1.7174292858109754,1.216
32,1.6967228381599546,0.897
105,3.208293516684476,3.47
30,1.6553099428579128,2.088
30,1.6553099428579128,2.224
82,2.7320452207109964,2.819
88,2.8562839066171217,2.8760000000000003
26,1.5724841522538293,0.516
39,1.8416679717171003,0.639
19,1.4275390186966836,2.6060000000000003
45,1.9659066576232254,0.703
35,1.758842181113017,0.45799999999999996
46,1.9866131052742464,0.899
27,1.5931905999048501,0.805
43,1.9244937623211837,3.9330000000000003
21,1.4689519139987253,4.148
15,1.3447132280926,1.8359999999999999
23,1.5103648093007669,1.071
31,1.6760163905089336,0.867
89,2.8769903542681425,2.278
44,1.9452002099722046,6.611000000000001
36,1.7795486287640379,0.875
165,4.450680375745726,11.540999999999999
62,2.31791626769058,2.253
58,2.2350904770864966,1.776
20,1.4482454663477045,0.43700000000000006
55,2.1729711341334337,1.2
22,1.489658361649746,1.105
30,1.6553099428579128,2.7460000000000004
63,2.3386227153416006,0.643
23,1.5103648093007669,0.595
14,1.3240067804415792,0.326
27,1.5931905999048501,1.521
47,2.007319552925267,6.605
26,1.5724841522538293,2.6919999999999997
48,2.028026000576288,2.338
73,2.545687191851809,2.6889999999999996
38,1.8209615240660795,1.054
14,1.3240067804415792,1.489
57,2.2143840294354757,0.725
39,1.8416679717171003,0.535
14,1.3240067804415792,1.02
49,2.048732448227309,2.407
31,1.6760163905089336,1.43
207,5.320351177088602,7.172000000000001
31,1.6760163905089336,1.0490000000000002
23,1.5103648093007669,1.113
10,1.241180989837496,0.261
146,4.057257870376331,7.4510000000000005
50,2.0694388958783296,4.58
145,4.03655142272531,8.124
8,1.1997680945354543,0.395
25,1.5517777046028085,1.187
90,2.8976968019191633,2.6010000000000004
41,1.8830808670191421,1.423
132,3.767367603262039,5.399
52,2.1108517911803713,2.247
73,2.545687191851809,1.9240000000000002
14,1.3240067804415792,1.073
24,1.5310712569517877,0.405
37,1.8002550764150587,1.252
88,2.8562839066171217,3.022
59,2.2557969247375174,1.955
68,2.442154953596705,3.991
45,1.9659066576232254,1.75
