Combo,Abserrors
H index_x,1.043053712552982
Total Docs. (2017),1.1716028298018686
Total Docs. (3years),1.161103149420404
Total Refs.,1.176562673537105
Total Cites (3years),0.9705806761876331
Citable Docs. (3years),1.1658343103037672
Cites / Doc. (2years),0.3402212794728576
Ref. / Doc.,1.1902450799662359
"H index_x,Total Docs. (2017)",1.0426559569832512
"H index_x,Total Docs. (3years)",1.0467576342624834
"H index_x,Total Refs.",1.039819581121932
"H index_x,Total Cites (3years)",0.9924491055906324
"H index_x,Citable Docs. (3years)",1.0467668123852143
"H index_x,Cites / Doc. (2years)",0.3419037394714935
"H index_x,Ref. / Doc.",1.016979385728861
"Total Docs. (2017),Total Docs. (3years)",1.1591911997165942
"Total Docs. (2017),Total Refs.",1.1700098981380624
"Total Docs. (2017),Total Cites (3years)",0.9731375401143477
"Total Docs. (2017),Citable Docs. (3years)",1.1627098108660037
"Total Docs. (2017),Cites / Doc. (2years)",0.33582754155369626
"Total Docs. (2017),Ref. / Doc.",1.102035483931634
"Total Docs. (3years),Total Refs.",1.1593204719893169
"Total Docs. (3years),Total Cites (3years)",0.8769971351462844
"Total Docs. (3years),Citable Docs. (3years)",1.1592734629540928
"Total Docs. (3years),Cites / Doc. (2years)",0.33864898141796135
"Total Docs. (3years),Ref. / Doc.",1.1028637967189379
"Total Refs.,Total Cites (3years)",0.9664240002247035
"Total Refs.,Citable Docs. (3years)",1.1632192477978445
"Total Refs.,Cites / Doc. (2years)",0.33874892364737424
"Total Refs.,Ref. / Doc.",1.1365031148012543
"Total Cites (3years),Citable Docs. (3years)",0.8728919927251485
"Total Cites (3years),Cites / Doc. (2years)",0.3341522929572737
"Total Cites (3years),Ref. / Doc.",0.9489125053979843
"Citable Docs. (3years),Cites / Doc. (2years)",0.3386288452253175
"Citable Docs. (3years),Ref. / Doc.",1.1082817853685907
"Cites / Doc. (2years),Ref. / Doc.",0.3382640324198519
"H index_x,Total Docs. (2017),Total Docs. (3years)",1.032437977171742
"H index_x,Total Docs. (2017),Total Refs.",1.0409035344569557
"H index_x,Total Docs. (2017),Total Cites (3years)",0.9787621636890039
"H index_x,Total Docs. (2017),Citable Docs. (3years)",1.0318191570648565
"H index_x,Total Docs. (2017),Cites / Doc. (2years)",0.3370234458901824
"H index_x,Total Docs. (2017),Ref. / Doc.",1.014035819887388
"H index_x,Total Docs. (3years),Total Refs.",1.028109131147424
"H index_x,Total Docs. (3years),Total Cites (3years)",0.8813459508128773
"H index_x,Total Docs. (3years),Citable Docs. (3years)",1.026230447905468
"H index_x,Total Docs. (3years),Cites / Doc. (2years)",0.3388395855142129
