Combo,Abserrors
H index_x,2.179642468121568
Total Docs. (2017),2.451775810316612
Total Docs. (3years),2.4704122555907624
Total Refs.,2.5141472271674012
Total Cites (3years),1.8856611256412839
Citable Docs. (3years),2.4797449392164292
Cites / Doc. (2years),0.2847275397064582
Ref. / Doc.,2.7100623006323077
"H index_x,Total Docs. (2017)",2.1781642168538076
"H index_x,Total Docs. (3years)",2.1854227422643704
"H index_x,Total Refs.",2.168280540566923
"H index_x,Total Cites (3years)",2.0415021245607563
"H index_x,Citable Docs. (3years)",2.1862785000473637
"H index_x,Cites / Doc. (2years)",0.2862546040299858
"H index_x,Ref. / Doc.",2.1425848623142367
"Total Docs. (2017),Total Docs. (3years)",2.446651367810444
"Total Docs. (2017),Total Refs.",2.459374791553278
"Total Docs. (2017),Total Cites (3years)",1.987536763356685
"Total Docs. (2017),Citable Docs. (3years)",2.444775284736301
"Total Docs. (2017),Cites / Doc. (2years)",0.28144491351304557
"Total Docs. (2017),Ref. / Doc.",2.4018853873540094
"Total Docs. (3years),Total Refs.",2.4609563782958586
"Total Docs. (3years),Total Cites (3years)",1.7910139939353424
"Total Docs. (3years),Citable Docs. (3years)",2.511957566951193
"Total Docs. (3years),Cites / Doc. (2years)",0.2838342031600202
"Total Docs. (3years),Ref. / Doc.",2.4400609432719955
"Total Refs.,Total Cites (3years)",2.032703605581387
"Total Refs.,Citable Docs. (3years)",2.468157481391143
"Total Refs.,Cites / Doc. (2years)",0.28401590852185254
"Total Refs.,Ref. / Doc.",2.5390047290054785
"Total Cites (3years),Citable Docs. (3years)",1.801071652700519
"Total Cites (3years),Cites / Doc. (2years)",0.2820634251992819
"Total Cites (3years),Ref. / Doc.",1.845845354629304
"Citable Docs. (3years),Cites / Doc. (2years)",0.28382069855197456
"Citable Docs. (3years),Ref. / Doc.",2.451920313069477
"Cites / Doc. (2years),Ref. / Doc.",0.27662111898360175
"H index_x,Total Docs. (2017),Total Docs. (3years)",2.1144833863549404
"H index_x,Total Docs. (2017),Total Refs.",2.1753214977620257
"H index_x,Total Docs. (2017),Total Cites (3years)",2.064472108652388
"H index_x,Total Docs. (2017),Citable Docs. (3years)",2.1065672590972375
"H index_x,Total Docs. (2017),Cites / Doc. (2years)",0.2832470888202076
"H index_x,Total Docs. (2017),Ref. / Doc.",2.1306939591340344
"H index_x,Total Docs. (3years),Total Refs.",2.1117561844389052
"H index_x,Total Docs. (3years),Total Cites (3years)",1.8682852716135756
"H index_x,Total Docs. (3years),Citable Docs. (3years)",2.172127079956777
"H index_x,Total Docs. (3years),Cites / Doc. (2years)",0.2846844096110156
"H index_x,Total Docs. (3years),Ref. / Doc.",2.1484961189932106
"H index_x,Total Refs.,Total Cites (3years)",2.0792182346492427
"H index_x,Total Refs.,Citable Docs. (3years)",2.1051184634799176
"H index_x,Total Refs.,Cites / Doc. (2years)",0.2855407839586155
"H index_x,Total Refs.,Ref. / Doc.",2.1397738430202127
"H index_x,Total Cites (3years),Citable Docs. (3years)",1.862198727834871
"H index_x,Total Cites (3years),Cites / Doc. (2years)",0.2822581292417807
"H index_x,Total Cites (3years),Ref. / Doc.",1.984867701981175
"H index_x,Citable Docs. (3years),Cites / Doc. (2years)",0.28476678610983397
"H index_x,Citable Docs. (3years),Ref. / Doc.",2.150086465245756
"H index_x,Cites / Doc. (2years),Ref. / Doc.",0.2784350814148498
"Total Docs. (2017),Total Docs. (3years),Total Refs.",2.4500149790586403
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years)",1.7606482251319406
"Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years)",2.4857282713179343
"Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years)",0.2835570983788176
"Total Docs. (2017),Total Docs. (3years),Ref. / Doc.",2.403321154731393
"Total Docs. (2017),Total Refs.,Total Cites (3years)",2.0296075283271886
"Total Docs. (2017),Total Refs.,Citable Docs. (3years)",2.4493536412999104
"Total Docs. (2017),Total Refs.,Cites / Doc. (2years)",0.28038427148262257
"Total Docs. (2017),Total Refs.,Ref. / Doc.",2.3607187784170476
"Total Docs. (2017),Total Cites (3years),Citable Docs. (3years)",1.7514509311943762
"Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years)",0.2816704505683304
"Total Docs. (2017),Total Cites (3years),Ref. / Doc.",1.9353015989943376
"Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years)",0.2832070813017581
"Total Docs. (2017),Citable Docs. (3years),Ref. / Doc.",2.399910783124296
"Total Docs. (2017),Cites / Doc. (2years),Ref. / Doc.",0.2748535430760132
"Total Docs. (3years),Total Refs.,Total Cites (3years)",1.8237263575595108
"Total Docs. (3years),Total Refs.,Citable Docs. (3years)",2.5009767824531033
"Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.2840970679273643
"Total Docs. (3years),Total Refs.,Ref. / Doc.",2.445218300994266
"Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",1.7807675158242988
"Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.28224830012762836
"Total Docs. (3years),Total Cites (3years),Ref. / Doc.",1.7239382291310434
"Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2835486926626034
"Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",2.491281660854485
"Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2767457790110283
"Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.8048995843598645
"Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.2824397002999208
"Total Refs.,Total Cites (3years),Ref. / Doc.",1.959880208640622
"Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.2840255379403992
"Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.4533714657137757
"Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.2752625025070873
"Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28205276494880605
"Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.730701507956373
"Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27557215258865675
"Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2766539063425898
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.",2.100386358796072
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years)",1.8116738903364904
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years)",2.1015941197748167
"H index_x,Total Docs. (2017),Total Docs. (3years),Cites / Doc. (2years)",0.2842932354434737
"H index_x,Total Docs. (2017),Total Docs. (3years),Ref. / Doc.",2.0650647214322344
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years)",2.0728779439533564
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years)",2.0910747907736775
"H index_x,Total Docs. (2017),Total Refs.,Cites / Doc. (2years)",0.2822792466330858
"H index_x,Total Docs. (2017),Total Refs.,Ref. / Doc.",2.124911257414386
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years)",1.7918461734420625
"H index_x,Total Docs. (2017),Total Cites (3years),Cites / Doc. (2years)",0.2819672826615507
"H index_x,Total Docs. (2017),Total Cites (3years),Ref. / Doc.",2.0087845839057406
"H index_x,Total Docs. (2017),Citable Docs. (3years),Cites / Doc. (2years)",0.28406235572760224
"H index_x,Total Docs. (2017),Citable Docs. (3years),Ref. / Doc.",2.0546770458864057
"H index_x,Total Docs. (2017),Cites / Doc. (2years),Ref. / Doc.",0.2766631693175766
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years)",1.824915990714452
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years)",2.090197685162461
"H index_x,Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.28471929865980306
"H index_x,Total Docs. (3years),Total Refs.,Ref. / Doc.",2.1103476198408604
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",1.8223775811252854
"H index_x,Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years)",0.2824800660172336
"H index_x,Total Docs. (3years),Total Cites (3years),Ref. / Doc.",1.8051441162632966
"H index_x,Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28435799272523793
"H index_x,Total Docs. (3years),Citable Docs. (3years),Ref. / Doc.",2.135183778874741
"H index_x,Total Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2776385804578541
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.7982609772888702
"H index_x,Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.2822834159255509
"H index_x,Total Refs.,Total Cites (3years),Ref. / Doc.",2.0051374711143177
"H index_x,Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.28478757193169313
"H index_x,Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.104364426588115
"H index_x,Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.27701874338260113
"H index_x,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28224870868200597
"H index_x,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7964276132725736
"H index_x,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27587026931847447
"H index_x,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2776241669483226
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years)",1.8187871430774145
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years)",2.500923912112665
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years)",0.28238354707935315
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Ref. / Doc.",2.353882791283498
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years)",1.7435370037066404
